id,gender,salary,doj
1304,M,16618.08,2022-02-19
1552,F,11585.67,2022-05-09
1114,M,20678.43,2023-01-08
1378,F,15867.22,2023-02-21
1444,F,14062.39,2021-04-21
1747,M,17039.05,2023-05-07
1002,F,21872.16,2023-02-14
1406,M,11659.33,2023-03-12
1793,F,11382.01,2021-04-30
1409,F,17456.9,2022-09-08
1391,M,10249.27,2023-07-09
1385,M,18861.77,2022-05-25
1211,F,14313.36,2023-09-21
1467,M,16149.76,2020-09-05
1867,M,14786.67,2023-12-11
1897,F,10404.23,2023-08-26
1563,F,17238.99,2022-03-27
1780,M,13725.71,2023-10-07
1168,M,13288.35,2023-09-28
1515,F,18266.4,2020-04-23
1117,F,18050.93,2023-11-18
1437,F,11604.51,2020-12-29
1313,M,11241.68,2023-10-26
1786,M,22509.7,2021-03-06
1210,M,13430.57,2022-11-08
1948,F,22802.24,2020-01-23
1870,M,18943.21,2021-07-03
1746,F,15607.73,2022-10-06
1920,M,19520.06,2023-03-04
1329,M,19301.56,2021-08-19
1891,F,12534.52,2023-05-02
1737,M,12650.28,2020-09-30
1739,M,13807.51,2020-02-05
1756,M,18055.04,2020-10-21
1799,F,13243.75,2023-11-22
1818,F,14724.26,2023-05-26
1431,M,20247.02,2022-11-27
1891,M,19136.9,2020-09-02
1679,M,13902.52,2023-01-09
1213,M,21628.86,2023-04-08
1410,F,10620.53,2022-02-07
1820,M,11098.34,2020-12-13
1819,M,10619.66,2021-12-25
1164,F,14590.14,2020-07-11
1982,F,11916.6,2023-05-26
1606,M,11390.79,2023-07-25
1195,F,16776.88,2021-06-07
1000,F,22879.55,2020-02-22
1049,F,12153.96,2020-10-16
1608,M,14054.63,2022-01-06
1722,F,16648.86,2021-07-14
1684,M,13413.19,2021-01-10
1266,M,15257.93,2021-05-20
1297,M,19670.52,2023-12-22
1706,M,12872.93,2021-04-20
1165,M,11936.48,2020-01-24
1684,F,12534.23,2021-07-25
1405,M,12459.96,2023-11-30
1505,M,22182.94,2023-08-28
1545,M,14987.95,2020-05-19
1471,F,15629.44,2023-06-05
1828,M,13203.78,2020-01-14
1994,M,19930.53,2023-01-17
1194,F,13256.78,2022-03-16
1471,F,18665.89,2020-10-01
1016,F,21534.86,2020-09-28
1878,M,11590.78,2021-02-13
1070,M,12712.2,2023-03-20
1595,M,18281.52,2022-03-07
1301,F,13474.75,2023-04-12
1784,M,17864.17,2023-08-07
1314,M,12276.11,2023-07-18
1362,F,12963.28,2022-03-13
1837,F,18363.4,2020-11-02
1442,F,17415.58,2021-11-30
1432,M,14815.67,2021-07-03
